3, -10, 993
-1, -11, 993
-106, -11, 997
-134, -29, 986
-134, -29, 986
-190, -42, 1005
-189, 23, 1000
-215, 26, 967
-180, -1, 1022
-197, -7, 963
-181, -16, 959
-150, -18, 971
-150, -18, 971
-119, -41, 842
-88, -27, 955
-74, -52, 949
-65, 7, 991
-12, 1, 906
-12, 1, 906
64, -14, 1008
58, -18, 847
139, 21, 917
139, 21, 917
220, -4, 1002
228, -36, 975
258, -27, 941
299, 2, 993
299, 2, 993
312, 14, 1004
327, -2, 982
91, -20, 993
91, -20, 993
252, -11, 1000
221, -11, 981
236, 27, 1008
294, 11, 969
294, 11, 969
283, -8, 978
232, 1, 989
174, 5, 981
174, 5, 981
156, -6, 882
130, -49, 904
129, -82, 1036
65, 5, 860
65, 5, 860
18, -8, 949
-22, 6, 948
-22, 6, 948
-123, -38, 961
-181, -70, 940
-224, 11, 895
-266, 24, 917
-266, 24, 917
-305, 3, 814
-332, -38, 956
-317, -20, 991
-272, -33, 1000
