"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0AI10","2020-02-12 00:00:00","76.000","0.000","0.000","15.600","0.970","1011.600","","0.000","-99.000","-99.000","-99.000","22.200","","15.100",""
"C0F9U0","2020-02-12 00:00:00","74.000","181.000","0.300","19.400","0.850","1011.800","","0.000","-99.000","-99.000","-99.000","23.000","","16.700",""
"C0V680","2020-02-12 00:00:00","40.000","0.000","0.200","20.300","0.790","1015.800","","0.000","-99.000","-99.000","-99.000","23.400","","17.500",""
"C0Z290","2020-02-12 00:00:00","946.000","163.000","0.400","12.200","1.000","916.800","","0.000","-99.000","-99.000","-99.000","14.100","","9.600",""
"CM0120","2020-02-12 00:00:00","4.000","4.000","1.000","18.200","0.820","1020.200","","0.000","-99.000","-99.000","-99.000","19.600","","16.200",""
"C0G760","2020-02-12 00:00:00","53.000","0.000","0.200","17.500","0.990","1017.100","","0.000","-99.000","-99.000","-99.000","23.200","","15.000",""
"C0K450","2020-02-12 00:00:00","35.000","312.000","1.000","17.700","0.860","1015.900","","0.000","-99.000","-99.000","-99.000","21.800","","15.900",""
"C0E820","2020-02-12 00:00:00","220.000","214.000","0.300","15.100","0.940","995.200","","0.000","-99.000","-99.000","-99.000","21.000","","13.300",""
"C0A530","2020-02-12 00:00:00","300.000","184.000","1.000","17.900","0.870","986.200","","0.000","-99.000","-99.000","-99.000","21.200","","12.600",""
"C0M520","2020-02-12 00:00:00","15.000","0.000","0.000","17.300","0.880","1018.700","","0.000","-99.000","-99.000","-99.000","21.600","","15.300",""
"C0K240","2020-02-12 00:00:00","1132.000","127.000","0.800","14.000","0.720","897.800","","0.000","-99.000","-99.000","-99.000","17.000","","10.600",""
"C0Z320","2020-02-12 00:00:00","646.000","243.000","0.500","12.300","1.000","949.200","","0.000","-99.000","-99.000","-99.000","17.300","","8.900",""
"C0R600","2020-02-12 00:00:00","766.000","288.000","2.400","16.900","0.760","933.400","","0.000","-99.000","-99.000","-99.000","18.000","","14.000",""
"C0C650","2020-02-12 00:00:00","208.000","215.000","0.600","15.800","0.950","996.300","","0.000","-99.000","-99.000","-99.000","20.900","","13.400",""
"C0F9I0","2020-02-12 00:00:00","194.000","0.000","0.200","17.700","0.940","997.500","","0.000","-99.000","-99.000","-99.000","20.500","","15.300",""
"C0T820","2020-02-12 00:00:00","550.000","0.000","0.100","14.300","0.880","964.100","","0.000","-99.000","-99.000","-99.000","19.300","","10.800",""
"C0S890","2020-02-12 00:00:00","238.000","296.000","0.600","16.200","0.940","999.200","","0.000","-99.000","-99.000","-99.000","20.700","","14.800",""
"C0G840","2020-02-12 00:00:00","32.000","311.000","0.900","17.400","0.970","1016.700","","0.000","-99.000","-99.000","-99.000","22.700","","15.500",""
"C0V710","2020-02-12 00:00:00","34.000","358.000","0.900","21.200","0.710","1016.300","","0.000","-99.000","-99.000","-99.000","23.400","","18.700",""
"C0X140","2020-02-12 00:00:00","17.000","43.000","1.300","18.700","0.900","1018.200","","0.000","-99.000","-99.000","-99.000","22.300","","16.600",""
"C0C680","2020-02-12 00:00:00","228.000","0.000","0.000","15.200","0.940","992.600","","0.000","-99.000","-99.000","-99.000","20.900","","14.600",""
"C0D360","2020-02-12 00:00:00","523.000","0.000","0.000","13.900","0.930","959.500","","0.000","-99.000","-99.000","-99.000","20.000","","12.100",""
"C0C710","2020-02-12 00:00:00","143.000","0.000","0.100","15.400","0.990","1004.700","","0.000","-99.000","-99.000","-99.000","21.100","","11.500",""
"C0Z190","2020-02-12 00:00:00","62.000","300.000","2.900","20.100","0.710","1015.300","","0.000","-99.000","-99.000","-99.000","21.400","","16.400",""
"C0Z020","2020-02-12 00:00:00","211.000","143.000","1.500","15.900","0.990","998.200","","0.000","-99.000","-99.000","-99.000","20.200","","13.000",""
"C0I380","2020-02-12 00:00:00","258.000","104.000","3.100","18.700","0.780","989.800","","0.000","-99.000","-99.000","-99.000","22.700","","14.000",""
"C0D560","2020-02-12 00:00:00","147.000","127.000","1.100","16.700","0.900","1003.900","","0.000","-99.000","-99.000","-99.000","23.100","","14.500",""
